student_id,gender,school_type,parent_edu,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,commute_min,final_score,grade_band,passed
S0045,F,Private,Bachelor,2.9,63.6,51.0,62.3,54.8,4.7,89.6,5.2,4,14.7,57.6,D,1
S0046,M,Public,High School,3.2,55.4,46.1,49.9,44.1,8.1,80.9,4.8,4,15.3,57.6,D,1
S0047,F,Private,High School,2.57,76.5,57.8,52.5,82.5,5.1,77.6,1.6,4,15.5,59.1,D,1
S0048,F,Public,Master,2.82,50.4,40.9,50.0,41.0,5.8,65.9,3.1,3,20.6,56.0,D,1
S0049,M,Private,PhD,2.24,60.3,67.6,58.7,67.6,10.3,87.9,2.8,2,27.1,59.9,D,1
S0050,F,Public,Master,2.9,59.6,68.8,59.8,46.6,9.1,70.4,5.2,2,35.8,70.1,B,1
S0051,F,Charter,Bachelor,2.85,61.4,60.4,57.2,72.2,14.3,83.7,2.5,3,15.3,58.9,D,1
S0052,F,Public,PhD,3.15,82.5,63.3,70.6,79.5,9.6,65.6,3.6,4,8.4,74.4,B,1
S0053,F,Public,Bachelor,2.69,68.5,48.1,62.2,53.8,4.2,74.7,4.2,2,18.5,60.4,C,1
S0054,F,Public,Bachelor,3.04,62.7,55.4,57.2,56.3,6.7,95.4,4.4,4,61.8,62.1,C,1
S0055,F,Private,Bachelor,2.83,63.6,70.7,49.4,44.1,11.4,67.0,4.4,3,28.2,59.9,D,1
S0056,M,Public,Bachelor,2.83,62.2,62.6,51.1,40.7,4.9,87.3,0.0,4,31.8,61.1,C,1
S0057,M,Public,Master,3.04,70.1,59.9,48.1,57.5,10.8,67.4,4.0,5,21.0,55.7,D,1
S0058,M,Private,Bachelor,3.02,71.6,67.4,62.7,73.2,8.0,69.4,6.3,4,50.9,69.6,C,1
S0059,M,Public,Bachelor,3.38,89.0,71.5,59.3,51.9,7.7,83.7,4.2,4,36.0,65.0,C,1
S0060,M,Charter,High School,2.94,54.1,56.2,53.0,79.0,12.9,91.1,5.3,3,9.7,59.9,D,1
S0061,M,Charter,High School,2.83,68.0,65.4,58.4,46.9,6.5,74.7,1.6,2,28.2,62.3,C,1
S0062,F,Private,Bachelor,2.91,66.6,61.0,69.2,56.3,6.2,86.5,1.1,3,19.6,68.6,C,1
S0063,M,Public,High School,2.64,74.0,64.6,68.0,55.9,7.3,90.2,4.4,4,33.0,57.1,D,1
S0064,M,Private,High School,2.82,71.0,58.1,59.6,51.2,6.8,68.9,3.9,8,40.8,69.1,C,1
S0065,F,Public,Bachelor,4.0,84.7,66.9,81.3,35.9,19.6,71.7,6.3,5,5.0,81.7,A,1
S0066,M,Public,Bachelor,2.54,68.2,48.1,39.8,41.1,10.4,71.2,5.1,2,32.7,52.1,D,1
S0067,F,Public,Master,2.86,61.2,47.1,75.3,52.2,6.7,93.9,3.5,4,13.6,55.4,D,1
S0068,M,Charter,Bachelor,2.81,77.8,42.3,67.6,47.2,6.8,68.3,2.8,3,47.2,67.3,C,1
S0069,F,Public,Master,2.88,75.2,49.0,62.2,58.0,2.4,90.9,2.7,5,40.1,63.0,C,1
S0070,F,Private,PhD,2.83,75.7,48.5,53.1,59.1,8.7,75.2,2.2,1,5.0,62.3,C,1
S0071,M,Private,Master,3.14,81.5,56.9,60.2,50.8,7.3,100.0,5.8,3,7.4,61.0,C,1
S0072,M,Public,Bachelor,2.14,64.8,65.1,60.3,39.2,5.8,98.4,1.7,5,9.1,56.2,D,1
S0073,F,Public,Bachelor,3.52,87.0,64.9,73.2,76.2,5.2,97.6,8.1,5,21.5,72.0,B,1
S0074,F,Charter,PhD,3.32,76.2,64.1,70.2,40.1,10.2,63.4,0.0,4,27.9,73.1,B,1
S0075,F,Private,High School,2.38,62.0,53.2,49.1,41.8,11.6,44.9,4.8,2,40.0,59.4,D,1
S0076,F,Private,High School,1.87,58.6,61.4,43.5,38.2,4.6,69.4,2.4,1,27.0,47.3,F,0
S0077,M,Public,Bachelor,2.51,64.9,46.6,58.8,56.9,4.7,86.0,3.1,3,23.2,53.1,D,1
S0078,M,Public,High School,2.88,64.6,52.8,66.1,67.1,8.5,84.8,1.6,3,29.9,67.2,C,1
S0079,M,Public,PhD,4.0,93.1,70.9,71.6,59.4,12.8,81.3,3.7,3,67.3,82.2,A,1
S0080,F,Public,Bachelor,3.27,75.1,72.4,77.0,61.0,16.7,64.9,6.7,6,5.0,68.2,C,1
S0081,F,Public,Bachelor,2.1,61.7,61.7,54.2,54.8,4.4,82.1,2.7,2,5.0,53.2,D,1
S0082,M,Charter,Bachelor,2.66,69.7,59.6,58.9,73.6,4.0,98.9,4.1,2,18.7,73.5,B,1
S0083,M,Public,Bachelor,2.97,93.6,76.7,71.6,36.5,9.0,71.7,4.2,4,14.4,69.5,C,1
S0084,M,Public,High School,3.13,62.2,57.9,71.2,62.8,10.1,91.2,6.5,5,13.3,67.3,C,1
S0085,M,Private,Bachelor,2.34,56.7,46.8,42.2,51.7,8.1,100.0,1.7,2,28.1,53.0,D,1
S0086,F,Private,Master,2.93,58.3,65.3,48.2,50.3,11.0,77.0,3.7,2,7.8,56.7,D,1
S0087,F,Public,Bachelor,2.64,64.6,58.1,54.9,55.4,13.4,74.4,3.2,2,17.9,63.6,C,1
S0088,F,Private,Master,2.45,66.4,44.9,85.4,56.1,5.0,81.2,2.7,2,23.3,62.6,C,1
S0089,M,Public,High School,3.13,67.6,67.7,58.9,63.3,7.5,77.9,7.5,2,20.3,71.6,B,1
S0090,M,Public,High School,3.39,69.6,58.2,62.1,81.1,5.0,99.9,3.0,4,20.9,60.4,C,1
S0091,F,Public,High School,3.42,75.3,58.9,70.2,57.1,12.7,79.4,1.6,5,20.7,71.4,B,1
S0092,F,Charter,Bachelor,3.29,68.9,68.2,71.3,57.6,7.5,82.5,2.3,5,11.5,70.0,C,1
S0093,F,Public,Master,2.75,70.0,54.7,61.0,49.0,10.7,60.2,5.2,2,22.4,53.3,D,1
S0094,F,Public,Master,3.36,82.5,67.8,76.1,64.1,9.0,80.7,5.2,2,23.1,72.2,B,1
S0095,F,Public,Bachelor,3.15,77.0,67.4,52.6,56.0,14.8,69.5,1.7,5,38.6,68.6,C,1
S0096,F,Charter,Bachelor,3.07,77.7,52.5,56.1,52.4,5.0,84.8,4.9,7,5.0,61.6,C,1
S0097,M,Public,Master,2.69,75.6,60.7,70.8,52.6,10.8,57.0,3.1,2,26.9,64.4,C,1
S0098,M,Public,High School,2.75,69.8,69.1,59.6,53.2,10.7,89.3,5.0,7,28.7,63.4,C,1
S0099,M,Public,High School,3.04,69.1,47.9,49.7,43.6,10.7,69.9,6.2,4,27.6,55.2,D,1
S0100,M,Public,PhD,4.0,73.8,70.6,55.9,66.4,9.6,100.0,12.0,5,23.5,83.3,A,1
S0101,F,Private,Bachelor,3.15,68.4,49.8,54.3,48.5,11.2,98.0,2.5,4,5.0,61.9,C,1
S0102,M,Private,PhD,2.69,62.8,63.2,57.7,60.4,8.2,83.4,0.0,3,28.9,62.7,C,1
S0103,F,Public,Bachelor,2.58,71.7,65.0,63.0,54.2,1.8,57.4,4.6,1,28.7,54.4,D,1
S0104,F,Public,Master,2.75,70.3,52.2,56.6,45.9,12.7,70.0,5.9,3,34.4,57.4,D,1
S0105,M,Public,High School,4.0,85.6,91.8,73.6,85.5,12.0,79.2,4.4,10,17.5,83.5,A,1
S0106,M,Public,High School,2.8,58.7,63.7,53.6,52.4,12.6,68.8,1.5,1,17.9,60.0,C,1
S0107,F,Public,Bachelor,3.45,86.0,72.8,77.9,66.7,10.6,100.0,6.3,11,37.8,75.1,B,1
S0108,M,Private,Bachelor,2.81,64.7,61.0,81.8,44.7,11.2,76.3,7.5,4,7.7,61.7,C,1
S0109,M,Charter,High School,3.13,62.5,66.1,56.8,31.6,6.9,73.4,3.1,1,5.0,58.5,D,1
S0110,M,Charter,High School,3.4,70.4,50.6,67.8,46.6,11.2,75.0,5.7,4,5.0,59.3,D,1
S0111,M,Charter,High School,2.71,87.0,62.4,66.3,27.3,8.3,70.8,0.0,5,31.6,64.5,C,1
S0112,F,Private,Master,2.68,63.7,57.0,59.1,48.6,6.7,83.2,3.3,8,15.8,62.2,C,1
S0113,F,Private,Bachelor,3.83,75.7,61.4,73.0,75.9,9.7,68.8,6.3,2,19.2,78.0,B,1
S0114,F,Public,High School,3.49,73.4,66.9,68.9,47.1,1.8,86.1,8.7,2,43.3,71.7,B,1
S0115,F,Private,High School,3.4,72.8,73.6,59.7,33.9,8.0,89.0,4.1,1,5.4,69.4,C,1
S0116,F,Public,High School,3.39,67.7,55.5,74.7,72.6,12.7,63.1,6.9,8,5.0,64.4,C,1
S0117,M,Public,Bachelor,3.23,73.4,59.7,64.9,49.1,5.7,65.3,3.5,3,36.3,72.1,B,1
S0118,F,Private,High School,4.0,88.6,62.4,67.3,59.2,9.4,89.4,7.2,5,7.5,79.3,B,1
S0119,F,Public,Master,3.02,72.7,40.6,83.7,58.5,4.8,97.5,8.7,2,7.3,54.8,D,1
S0120,F,Public,High School,3.29,64.0,65.7,60.5,62.9,10.8,97.3,8.8,5,21.9,63.2,C,1
S0121,F,Charter,High School,2.27,60.0,48.8,56.9,56.3,3.4,65.4,6.6,2,25.8,47.3,F,0
S0122,M,Public,Master,2.59,61.5,52.3,58.4,60.6,11.0,92.8,4.3,3,14.0,61.0,C,1
S0123,M,Public,Master,2.4,64.4,41.5,55.1,25.2,8.8,70.2,2.6,2,36.4,46.8,F,0
S0124,M,Charter,High School,3.64,87.0,65.5,72.3,41.3,12.1,82.4,6.7,2,10.1,72.1,B,1
S0125,M,Private,Master,1.72,56.0,54.7,42.9,60.1,4.8,68.4,2.2,3,19.0,57.4,D,1
S0126,F,Private,Bachelor,2.8,67.3,55.2,64.6,42.2,5.9,88.1,4.8,2,5.0,66.3,C,1
S0127,F,Public,Master,1.5,69.3,46.3,36.0,34.8,1.0,57.7,0.0,1,5.0,36.9,F,0
S0128,M,Public,Bachelor,2.58,72.9,57.3,47.4,35.8,9.5,71.1,2.0,1,30.6,57.6,D,1
S0129,F,Charter,Bachelor,2.75,72.1,43.9,76.4,43.6,10.8,62.6,2.7,8,6.4,69.9,C,1
S0130,M,Private,PhD,3.69,92.6,75.7,58.4,57.0,13.9,91.1,8.4,6,19.2,70.5,B,1
S0131,M,Private,High School,3.2,75.9,48.2,45.7,40.5,8.4,93.2,7.4,5,52.9,62.8,C,1
S0132,M,Public,Bachelor,2.58,49.9,39.0,43.4,33.8,6.2,87.8,9.8,3,34.1,45.6,F,0
S0133,M,Public,Bachelor,3.53,82.0,54.6,82.3,58.9,8.3,68.9,6.7,7,22.8,67.5,C,1
S0134,F,Charter,High School,3.01,57.4,52.0,42.4,42.1,11.3,75.5,2.9,1,31.3,62.4,C,1
S0135,M,Public,High School,3.02,73.8,55.3,53.3,45.4,3.2,95.1,3.6,6,57.3,56.9,D,1
S0136,F,Private,High School,2.4,50.3,47.1,40.3,25.0,1.0,76.8,2.7,1,5.0,43.2,F,0
S0137,F,Public,Bachelor,2.5,61.3,42.1,53.8,70.1,1.0,75.5,6.3,0,25.4,53.0,D,1
S0138,M,Private,Bachelor,2.59,63.0,62.4,53.2,63.6,1.0,76.0,4.9,1,49.2,63.7,C,1
S0139,F,Charter,Bachelor,3.02,64.1,64.2,55.6,49.0,13.2,86.7,1.9,4,29.5,67.4,C,1
S0140,F,Private,High School,3.04,67.6,55.3,77.5,42.0,11.5,83.8,4.5,2,42.9,60.6,C,1
S0141,M,Public,Bachelor,3.77,86.0,63.3,58.0,58.6,8.5,80.8,3.5,6,11.8,71.8,B,1
S0142,F,Private,PhD,3.19,66.2,52.0,60.5,52.5,9.5,92.5,6.2,2,5.3,64.0,C,1
S0143,M,Private,Bachelor,1.65,60.8,41.5,54.1,27.0,8.0,52.0,0.0,1,60.4,49.1,F,0
S0144,M,Public,Bachelor,3.13,63.6,42.6,51.7,25.0,11.0,97.2,3.6,3,25.5,50.9,D,1
S0145,M,Charter,Master,2.27,61.2,39.8,59.3,38.8,12.4,62.0,0.0,3,41.0,58.4,D,1
S0146,F,Private,Master,2.52,67.8,61.8,54.1,33.0,6.7,81.7,4.8,3,40.7,59.4,D,1
S0147,F,Charter,Bachelor,2.59,58.0,53.9,59.5,52.2,5.4,74.0,5.9,2,46.2,51.8,D,1
S0148,M,Private,Master,2.67,56.2,67.2,55.3,56.0,4.4,71.0,2.3,6,31.1,61.3,C,1
S0149,M,Public,Bachelor,2.31,67.1,48.5,37.8,35.8,6.3,89.4,2.5,2,33.5,50.8,D,1
S0150,F,Public,Master,3.1,80.0,57.6,75.4,47.3,12.2,89.9,3.8,3,32.0,64.0,C,1
S0151,M,Public,High School,2.29,62.3,45.8,73.9,67.8,6.5,72.2,2.3,0,18.9,61.2,C,1
S0152,M,Charter,High School,3.18,68.1,55.1,60.1,62.7,8.6,100.0,3.3,2,39.9,64.3,C,1
S0153,F,Private,High School,4.0,81.2,61.8,61.2,53.8,16.8,100.0,4.8,3,11.4,65.5,C,1
S0154,F,Private,Master,2.34,63.8,53.4,69.3,76.3,7.9,63.7,5.6,2,44.9,45.7,F,0
S0155,M,Public,Bachelor,2.86,70.5,56.9,77.3,37.9,8.1,51.5,0.0,5,37.6,72.8,B,1
S0156,F,Public,High School,1.74,40.0,33.9,45.9,31.2,1.7,68.7,2.4,1,5.0,37.2,F,0
S0157,F,Private,High School,2.85,59.9,65.9,56.1,53.1,7.6,95.1,4.7,3,37.9,61.2,C,1
S0158,M,Public,PhD,3.32,66.5,77.8,61.5,41.4,11.7,90.5,8.6,4,26.9,62.0,C,1
S0159,F,Public,Master,3.36,74.8,73.3,49.1,80.4,8.1,100.0,4.9,5,43.2,67.4,C,1
S0160,M,Private,Bachelor,3.04,71.9,63.9,59.0,57.1,5.5,73.2,3.9,7,50.8,74.9,B,1
S0161,F,Public,Bachelor,3.44,79.5,71.3,81.0,49.3,9.3,83.0,4.0,2,24.4,85.3,A,1
S0162,F,Public,Bachelor,4.0,82.1,87.2,67.9,70.9,12.9,88.9,7.7,5,25.4,72.3,B,1
S0163,F,Public,Bachelor,3.86,68.2,71.0,56.4,62.5,16.5,91.5,5.2,1,5.0,72.8,B,1
S0164,M,Public,PhD,2.74,79.0,52.4,65.7,46.9,4.5,86.6,1.6,2,23.8,69.8,C,1
S0165,F,Charter,High School,2.27,72.9,56.9,51.2,34.8,6.8,92.3,1.2,3,53.5,54.3,D,1
S0166,M,Public,Bachelor,2.8,57.9,58.6,56.8,35.2,7.4,100.0,2.1,2,26.0,59.4,D,1
S0167,M,Public,Bachelor,2.53,67.9,43.4,46.3,73.5,6.4,95.3,1.3,2,41.3,55.4,D,1
S0168,M,Public,Bachelor,3.23,67.5,55.6,52.5,37.5,14.5,90.3,5.2,10,23.5,63.0,C,1
S0169,F,Private,Bachelor,2.41,65.2,62.6,63.1,71.8,6.9,70.0,2.6,3,26.2,69.4,C,1
S0170,F,Public,Bachelor,2.96,78.1,41.4,63.4,38.8,6.1,82.3,5.5,1,33.8,60.9,C,1
S0171,M,Private,High School,3.42,91.2,54.5,60.8,64.0,13.3,92.1,5.8,5,5.0,64.3,C,1
S0172,F,Public,Bachelor,2.95,75.5,57.0,62.9,58.3,11.2,81.1,2.0,3,30.8,61.6,C,1
S0173,M,Public,High School,2.53,67.6,56.8,52.2,58.6,4.1,64.3,0.0,4,5.0,61.2,C,1
S0174,F,Public,High School,3.59,73.2,49.3,58.1,62.8,7.8,80.3,3.9,9,20.8,65.5,C,1
S0175,M,Charter,High School,2.06,62.1,46.8,64.3,26.4,6.5,81.0,3.7,0,17.2,46.9,F,0
S0176,F,Charter,Master,2.84,79.2,70.6,68.9,47.5,8.2,75.4,5.6,2,8.5,60.8,C,1
S0177,M,Public,Bachelor,2.98,69.4,57.9,60.6,36.7,7.5,80.1,6.4,3,47.3,54.7,D,1
S0178,F,Private,Bachelor,3.01,63.0,64.8,60.9,57.3,12.2,79.1,6.2,4,41.8,60.9,C,1
S0179,M,Charter,Master,3.09,57.9,48.6,59.1,35.5,7.6,70.2,6.9,4,19.2,58.7,D,1
S0180,M,Public,Bachelor,3.31,77.2,53.8,68.6,30.0,11.5,81.0,6.1,2,59.1,60.9,C,1
S0181,M,Charter,Bachelor,2.98,71.8,66.4,54.1,52.4,12.5,74.3,8.1,2,40.0,64.7,C,1
S0182,F,Public,Bachelor,2.82,63.0,57.7,66.3,25.7,7.2,69.9,4.6,2,23.5,57.9,D,1
S0183,F,Charter,Bachelor,2.8,76.2,46.0,64.2,52.3,2.7,65.3,8.0,3,5.0,63.2,C,1
S0184,M,Private,Bachelor,2.69,63.6,45.3,55.5,33.4,6.6,75.7,2.5,1,25.0,48.8,F,0
S0185,F,Charter,Bachelor,3.39,72.9,77.0,59.5,49.9,11.1,91.4,4.2,0,13.6,77.2,B,1
S0186,F,Private,Master,2.68,66.6,44.8,66.0,25.0,10.7,90.2,3.3,2,19.7,46.0,F,0
S0187,F,Public,Master,3.42,71.4,70.4,62.5,78.3,9.1,67.5,5.5,2,29.1,70.6,B,1
S0188,F,Charter,High School,3.01,72.0,53.4,55.2,34.6,14.2,99.4,3.9,5,15.5,57.2,D,1
S0189,M,Public,High School,2.74,76.6,57.5,57.3,47.5,4.1,80.9,4.9,2,46.1,55.6,D,1
S0190,M,Public,Bachelor,3.31,64.0,61.0,68.6,34.0,10.7,69.6,5.1,7,15.5,52.4,D,1
S0191,F,Private,Bachelor,2.64,70.3,33.8,44.4,35.4,6.8,71.5,2.4,1,11.5,55.4,D,1
S0192,F,Private,High School,3.32,74.6,46.6,60.6,73.0,14.3,60.7,4.5,5,33.1,71.3,B,1
S0193,F,Charter,Master,3.11,72.3,59.8,71.7,57.8,5.0,61.6,7.2,4,24.1,68.7,C,1
S0194,M,Public,High School,2.7,74.0,49.2,58.5,40.9,9.1,97.7,4.4,0,39.3,53.8,D,1
S0195,M,Private,PhD,3.26,73.0,70.4,65.6,57.3,9.3,74.3,1.8,3,26.2,66.5,C,1
S0196,F,Private,Master,3.27,76.6,45.5,73.7,44.8,14.7,89.2,8.2,3,5.0,63.8,C,1
S0197,F,Public,Master,3.58,81.5,70.9,74.8,58.3,8.8,84.5,6.8,3,26.7,73.1,B,1
S0198,F,Public,High School,3.48,70.8,47.6,60.1,62.0,12.2,85.0,7.0,5,9.0,69.6,C,1
S0199,F,Public,High School,3.25,74.8,57.3,62.3,50.3,7.5,86.9,7.0,3,26.0,62.0,C,1
S0200,F,Public,Bachelor,2.44,62.4,40.3,64.2,48.7,7.3,49.4,5.1,2,18.8,50.0,F,0
S0201,M,Charter,High School,4.0,78.9,86.7,77.2,68.3,11.9,100.0,5.2,4,16.9,83.0,A,1
S0202,M,Private,Bachelor,2.3,60.4,36.0,54.1,40.3,5.0,71.8,0.6,5,29.2,48.7,F,0
S0203,F,Private,Bachelor,3.47,78.5,62.4,65.1,47.9,4.9,78.7,10.5,4,33.6,69.7,C,1
S0204,F,Charter,High School,3.22,72.8,42.7,65.3,44.2,11.1,87.8,3.6,4,15.7,68.4,C,1
S0205,M,Public,High School,2.41,67.3,68.3,69.2,61.3,3.4,65.5,3.8,3,5.0,60.5,C,1
S0206,M,Charter,Master,2.94,69.2,60.8,70.1,63.0,5.4,81.9,7.6,2,11.0,70.1,B,1
S0207,F,Public,High School,2.96,56.8,54.6,64.4,38.6,4.2,77.6,3.5,3,27.2,58.1,D,1
S0208,M,Charter,High School,3.65,76.8,79.2,56.6,58.7,8.4,95.1,5.4,3,39.5,77.1,B,1
S0209,M,Public,Bachelor,2.64,66.9,55.4,55.8,41.8,9.1,73.9,5.5,0,31.3,63.0,C,1
S0210,F,Charter,PhD,2.87,70.6,58.9,58.3,62.4,9.8,66.3,4.6,5,40.6,59.5,D,1
S0211,F,Public,Bachelor,1.83,53.6,45.1,63.5,38.5,6.3,72.7,2.6,0,33.2,58.1,D,1
S0212,F,Public,High School,3.87,69.1,69.4,63.9,86.8,9.4,85.4,6.5,3,23.9,77.0,B,1
S0213,M,Private,Bachelor,2.46,69.6,48.5,69.0,50.8,7.5,52.8,2.1,1,24.0,52.7,D,1
S0214,F,Public,PhD,3.16,69.4,56.4,56.7,67.9,7.8,84.0,4.2,4,39.9,58.9,D,1
S0215,M,Private,Master,2.95,70.9,65.5,56.5,42.7,11.7,73.0,6.8,4,49.9,69.6,C,1
S0216,M,Public,Bachelor,2.95,67.3,59.1,64.5,53.4,10.1,83.7,3.8,6,10.8,69.8,C,1
S0217,F,Private,Bachelor,3.4,74.0,60.6,78.3,63.3,8.7,73.8,6.4,6,26.3,76.9,B,1
S0218,F,Public,Bachelor,3.84,74.8,51.2,65.1,43.3,15.5,73.9,4.7,6,5.0,65.3,C,1
S0219,F,Public,High School,3.13,63.5,71.5,37.4,57.5,11.0,95.4,8.9,3,49.4,59.8,D,1
S0220,F,Public,Bachelor,3.33,77.1,55.5,50.3,66.9,6.1,93.4,6.0,8,25.9,56.9,D,1
S0221,F,Public,Master,3.16,66.8,67.7,64.0,52.6,4.6,81.6,5.6,7,23.9,63.5,C,1
S0222,M,Public,PhD,3.51,76.4,65.0,52.1,47.3,7.0,90.3,7.6,5,5.4,66.1,C,1
S0223,M,Public,High School,2.77,71.0,43.1,52.0,70.0,13.0,87.4,3.0,5,22.8,67.6,C,1
S0224,M,Public,High School,3.54,70.7,74.3,64.5,45.9,8.1,85.3,8.2,3,21.2,67.6,C,1
S0225,M,Public,Bachelor,3.56,65.9,63.0,41.5,59.1,16.8,71.1,2.9,4,6.1,63.6,C,1
S0226,F,Private,Master,3.54,94.8,82.4,65.8,53.5,8.0,89.0,4.6,3,24.6,77.1,B,1
S0227,M,Charter,Master,2.67,62.5,50.9,47.0,38.6,4.2,88.7,2.1,3,13.8,56.5,D,1
S0228,F,Public,High School,2.92,74.1,65.2,47.8,63.5,11.3,86.3,0.5,3,31.9,71.5,B,1
S0229,F,Private,High School,3.12,86.7,45.8,57.8,48.3,12.3,81.9,3.7,3,9.6,59.4,D,1
S0230,F,Private,Bachelor,2.31,69.5,47.2,47.2,52.0,7.9,79.9,2.7,0,30.8,52.3,D,1
S0231,F,Public,Bachelor,3.8,75.6,52.4,71.1,28.8,14.2,85.3,4.3,3,18.1,67.6,C,1
